	1	2	uniprotID	ENSG	ENST	DBD_coords	AD_coords	RD_coords	Bif_coords	length	IDR_coords
22			A6NN14		ENST00000601693	180-202,208-230,239-258,264-286,292-314,320-342,350-370,376-398,404-426,432-454,460-482,488-510,516-538,544-566,572-594,600-622,656-678,740-762,768-790,852-874,880-902,908-930,936-958,964-986,992-1014,1020-1042,1048-1070,1076-1098,1104-1126,1132-1154,1160-1182,1188-1210				1	70-242,1208-1253
23			A6NNA5		ENST00000374139	34-90				1	1-30,90-264
24			A6NP11		ENST00000420713	213-235,241-263,296-318,324-346,352-374,380-402,408-430,436-458,464-486				1	1-14,67-212,482-496
25			A8MQ14		ENST00000591344	197-206,281-303,309-331,337-359,365-387,393-415,421-443,449-471,477-499,505-527,533-555,561-583,589-611,617-639,645-667,673-695,701-723,731-751,757-779,785-807,813-835,841-863,869-891,897-919,925-947,953-975,981-1003,1009-1031,1037-1059,1065-1087				1	55-195
26			A8MT65		ENST00000537226	320-337,348-370,376-398,404-426,432-454,460-482,488-510,516-538				1	1-21,84-319
27			A8MTJ6		ENST00000428390	145-234	369-420			1	1-133,234-421
28			A8MTQ0		ENST00000398468	157-213				1	1-109,221-252
29			A8MTY0		ENST00000418100	170-192,201-220,226-248,255-276,282-304,310-332,338-360,394-416,422-444,450-472,478-500,506-528,534-556,562-584,590-612				1	60-170
30			A8MUV8		ENST00000456806	200-222,228-250,256-278,284-306,312-334,340-362,368-390,396-418,424-446,452-474				1	63-166,470-500
31			A8MUZ8		ENST00000400156	172-194,200-222,228-250,284-300				1	67-167
32			A8MXY4		ENST00000596209	173-195,257-279,285-307,313-335,341-363,371-391,397-419,425-447,453-475,509-531,537-559,649-671,677-699,789-811,817-839				1	58-231
33			A8MYZ6		ENST00000641094	89-178	382-491			1	1-86,159-493
34			B2RXF5		ENST00000342537	294-316,335-356,362-384,390-413				1	1-23,120-292
35			B4DU55		ENST00000444149	204-226,232-254,260-282,288-310,316-338,344-366,372-394,400-422,428-450,456-478,484-506,512-534,540-562				1	1-17,69-198,551-564
36			B4DX44		ENST00000355095	173-195,201-223,229-251,257-279,285-307,313-335,341-363,369-391,397-419				1	67-146
37			B4DXR9		ENST00000419098	168-189,195-208,223-243,251-272,278-300,306-328,334-356,362-384,390-412,418-440,446-468,474-496,502-524,530-547,559-579				1	65-189
38			B7Z6K7		ENST00000435989	242-264,269-291,324-346,352-374,408-430,436-458,464-486,492-514,520-542,548-570,576-598,604-626,632-654,660-682,688-710,716-738,744-766,772-794,800-822,828-850				1	1-241
39			C9JLR9		ENST00000433688	111-150,422-463,588-626				1	1-102,170-256,314-422,487-586,655-679
40			C9JN71		ENST00000547628	143-165,171-193,199-221,227-249,255-277,283-305,311-333,339-361,367-389,395-417,423-445,451-473,479-501,507-529				1	48-134
41			E7ETH6		ENST00000442832	242-264,270-292,298-320,326-348,354-375				1	1-14,58-239,371-403
42			E9PGG2		ENST00000419717	139-194				1	192-380
43			O00110		ENST00000633214	72-92,96-120,126-149,165-187				1	1-71
44			O00358		ENST00000375123	53-142				1	1-53,146-374
45			O00570		ENST00000330949	51-119	125-391			1	1-57,128-392
46			O14503		ENST00000256495	54-108				1	1-44,183-413
47			O14529		ENST00000261726	549-627,892-967,1043-1120,1169-1225				1	103-175,274-298,379-555,633-879,959-1045,1134-1177,1226-1487
48			O14627		ENST00000373514	174-230	32-131			1	1-160,237-285
49			O14753		ENST00000335987	118-140,144-168,174-197,213-236				1	1-119,255-268
50			O14813		ENST00000298231	91-147	2-81			1	1-86,150-285
51			O14867		ENST00000286800	558-618				1	1-15,134-533,640-737
52			O14978		ENST00000219069	378-400,434-456,462-484,490-512,518-540,575-597,603-625,631-653,659-681				1	1-47,129-434,541-572,665-684
53			O15060		ENST00000300101	508-530,538-560,605-627,633-655,661-683				1	1-30,121-346,562-602
54			O15062		ENST00000307750	641-662				1	146-601
55			O15090		ENST00000355537	130-152,158-180,274-297,300-323,345-367,373-395,631-653,752-773,779-802				1	1-134,213-272,325-344,395-751,801-1301
56			O15209		ENST00000383196	488-507,513-535				1	1-35,151-484,563-635
57			O15353		ENST00000226247	271-361	482-601,152-231			1	1-272,372-649
58			O15370		ENST00000342665	40-108	232-315			1	1-39,107-316
59			O15391		ENST00000429584	254-278,283-305,311-335,341-365	2-102			1	1-253
60			O15499		ENST00000086933	127-183				1	1-130,186-206
61			O15516		ENST00000309964	35-85				1	1-52,390-519,559-847
62			O15522		ENST00000258829	85-141				1	1-88,143-240
63			O15525		ENST00000357736	50-117				1	1-28,120-163
64			O43186		ENST00000221996	40-96	126-174,192-291			1	1-42,97-300
65			O43248		ENST00000546378	233-289				1	1-236
66			O43296		ENST00000263095	203-225,231-253,259-281,287-309,315-337,343-365,371-393,399-421,427-449,455-477,483-505,511-533,539-561				1	58-203,556-628
67			O43298		ENST00000373457	374-394,400-422				1	131-374,454-468
68			O43361		ENST00000334181	202-218,258-274,298-320,326-348,354-376,382-404,410-432,438-460,483-505,511-533,556-577,584-606,612-634,640-662,668-689,696-718,750-773				1	1-297,720-779
69			O43364		ENST00000222718	144-200	292-376			1	1-147,200-377
70			O43365		ENST00000317201	192-248				1	1-197,248-444
71			O43623		ENST00000020945	128-150,159-181,185-207,213-235,241-262				1	1-125
72			O43638		ENST00000375978	18-107				1	1-21,111-331
73			O43680		ENST00000237316	80-132				1	1-82
74			O43711		ENST00000296921	167-223				1	1-171,259-292
75			O43763		ENST00000233638	158-214				1	1-164,238-285
76			O43823		ENST00000269701	1-692	2-81			1	1-383,544-693
77			O43829		ENST00000357006	277-299,305-327,333-355,361-383,389-412				1	1-272,407-450
78			O60284		ENST00000276480	367-394,411-439,723-751,767-795,815-843,868-895				1	1-301,344-375,413-814
79			O60422		ENST00000382349	317-395,415-470				1	1-322,471-495
80			O60479		ENST00000434704	130-186	199-263,2-91			1	1-132,189-288
81			O60519		ENST00000228865	16-83				1	1-24,93-121
82			O60548		ENST00000334793	127-216				1	1-128,214-496
83			O60675		ENST00000343242	49-118				1	1-26,123-157
84			O60682		ENST00000325509	108-166				1	1-108
85			O60765		ENST00000335815	214-236,242-264,270-292,298-320,354-376,382-404,410-432,438-460,466-488,494-516,522-544,550-572,578-600				1	63-216,316-350
86			O60806		ENST00000367821	43-218				1	1-19,260-449
87			O75132		ENST00000216268	118-166,288-336,459-506,561-609				1	1-123,164-304,342-462,504-654,1039-1064
88			O75333		ENST00000335385	67-252				1	1-62,259-386
89			O75360		ENST00000308304	70-126	129-226			1	1-77,130-227
90			O75362		ENST00000302342	65-88,128-150,156-178,217-238,472-493,499-522				1	1-62,106-125,175-469,523-1049
91			O75364		ENST00000370002	63-119				1	1-67,127-303
92			O75373		ENST00000427401	173-195,201-223,229-251,257-279,285-307,313-335,341-363,369-391,397-419,425-447,453-475,481-503,509-531				1	57-166
93			O75467		ENST00000196482	257-279,285-307,313-335,341-363,369-391,397-419,425-447,453-475,481-503				1	50-252,502-554
94			O75593		ENST00000377317	33-119				1	1-32,138-366
95			O75603		ENST00000379491	35-172	174-263,428-506			1	164-507
96			O94892		ENST00000221315	205-227,233-255,261-283,289-311,317-339,345-367,373-395,401-423,429-451,457-479,485-507,513-535,541-563,569-591,597-619,625-647				1	50-204
97			O95076		ENST00000647563	154-210	1-143,228-343			1	1-156,220-344
98			O95096		ENST00000377142	129-185	220-273			1	1-133,193-274
99			O95201		ENST00000219091	308-330,336-358,364-386,392-414,420-442,448-470,476-498,504-526				1	1-118,159-306,516-555
100			O95231		ENST00000325980	92-148				1	1-95,143-259
101			O95343		ENST00000260653	207-263				1	1-85,263-333
102			O95365		ENST00000322357	382-404,410-432,438-460,466-487				1	1-27,137-376,487-585
103			O95409		ENST00000376335	271-291,300-327,333-357,363-387,393-415	100-255			1	1-269,408-533
104			O95416		ENST00000306087	8-76	142-240			1	1-16,75-241
105			O95475		ENST00000327720	129-185				1	194-247
106			O95625		ENST00000312938	569-591,597-619,651-673,679-701,707-729,735-757,766-788,794-816,822-846,859-880,886-908,914-937				1	128-193,322-572,619-649,954-1054
107			O95863		ENST00000244050	154-176,180-202,208-230,236-257				1	1-151
108			O95935		ENST00000369663	141-330				1	1-141,362-608
109			O95948		ENST00000491143	329-407,427-482				1	1-333,414-433,485-505
110			O96004		ENST00000231121	95-147				1	1-109,161-216
111			O96006		ENST00000381218	23-72				1	100-121,651-695
112			P04198		ENST00000281043	382-434	1-151			1	1-388
113			P05412		ENST00000371222	250-313	1-194,238-257			1	1-249
114			P07199		ENST00000379751	2-56				1	138-195,388-546,585-600
115			P09016		ENST00000306324	155-211	3-143			1	1-154,212-256
116			P09017		ENST00000303406	157-213				1	1-159,214-265
117			P09067		ENST00000239151	195-251				1	1-184,256-270
118			P09629		ENST00000239165	138-194	1-129,206-217			1	1-139,194-218
119			P0C7M4		ENST00000371402	137-191				1	1-144,199-289
120			P0CB33		ENST00000429565	213-234,241-263,269-291,297-319,325-347,353-375,381-403				1	1-15,64-216
121			P0CF97		ENST00000422728	73-112				1	1-63
122			P0CG23		ENST00000457543	485-507,513-535,541-563,569-591,597-620				1	1-184,294-341,382-487,617-660
123			P0CG24		ENST00000639662	13-35,41-63,69-91,97-119,125-147,153-175,181-203,209-231,237-259,265-287,293-315,321-343,349-371				1	NA-NA
124			P0CG40		ENST00000394967	332-356,362-386,392-414	142-231			1	1-309,410-485
125			P0CH99		ENST00000400085	172-194,200-222,227-250,284-300				1	70-167
126			P0CI00		ENST00000400120	NA-NA				1	69-167
127			P0CJ78		ENST00000568956	224-246,252-274,350-372,378-400,407-429,441-463,550-572,578-600,606-628,669-691,697-719,792-814,822-842,848-870,876-898,904-926,932-954,960-982,989-1011,1017-1039				1	1-220,274-349,432-549,633-670,719-794,1038-1060
128			P0CJ79		ENST00000638862	242-264,270-292,298-320,326-348,354-376,382-404,410-432,438-460,466-488,494-516,522-544,550-572,578-600,606-628,634-656,662-684,690-712				1	56-238
129			P0DKX0		ENST00000594710	228-250,256-278,284-306,312-334,340-362,368-390,396-418,424-446,452-474,480-502,508-530,536-558,564-586,592-614				1	63-224,610-623
130			P10071		ENST00000395925	480-505,513-540,546-570,576-601,607-632	827-1580			1	1-480,623-1581
131			P10073		ENST00000329665	268-290,296-318,324-346,352-374,380-402,408-430,436-458,464-486				1	1-47,121-272
132			P10074		ENST00000377674	291-313,319-340,350-372,378-401,436-459,465-487,493-515,521-544,550-572,578-600	1-140			1	113-295,615-689
133			P10075		ENST00000340042	183-205,211-233,239-261,267-289,295-317,323-345,351-373				1	1-180
134			P10588		ENST00000291442	54-123				1	1-51,127-166
135			P10589		ENST00000327111	84-153				1	1-83,158-179
136			P10914		ENST00000245414	7-112	184-311			1	108-326
137			P11831		ENST00000265354	150-197	406-508			1	1-144,217-509
138			P12755		ENST00000378536	1-728				1	1-96,317-546,708-729
139			P12980		ENST00000264824	151-203				1	1-151,213-281
140			P13349		ENST00000228644	84-135	135-255,1-46			1	1-66,147-256
141			P13682		ENST00000396056	222-244,250-272,278-300,306-328,334-356,362-384,390-412,418-440,446-468,474-496,502-524				1	1-221
142			P14652		ENST00000330070	NA-NA	262-356			1	1-148,198-357
143			P15036		ENST00000360214	364-443	135-324			1	1-68,171-348
144			P15172		ENST00000250003	110-161	167-320,1-99			1	1-88,168-321
145			P15173		ENST00000241651	82-133	7-77,156-224			1	1-60,143-225
146			P17017		ENST00000344099	169-191,197-218,223-245,251-273,279-301,307-329,335-357,363-385,391-413,419-441,447-469,475-497,503-525,531-553,559-581,587-609,615-637				1	1-138
147			P17019		ENST00000356929	168-190,196-218,224-246,252-274,280-302,308-330,336-358,364-386,392-414,420-442,448-470,476-498,504-526,532-554				1	64-160,549-564
148			P17020		ENST00000276816	237-254,265-287,293-315,321-343,349-371,377-399,405-427,433-455,461-483,489-511,517-539,545-567,573-595,601-623,629-651,657-679	62-210			1	1-213
149			P17024		ENST00000334213	103-130,145-161,199-221,227-249,255-277,283-305,311-333,339-361,367-389,395-417,423-445,451-473,479-500,506-528				1	1-202
150			P17026		ENST00000298299	55-77,83-105,111-133,139-161,167-189				1	1-47,189-225
151			P17029		ENST00000324306	377-399,405-427,433-455,461-483,489-511,517-539				1	1-53,126-374,541-564
152			P17031		ENST00000328654	174-196,202-224,230-252,258-280,286-308,314-336,342-364,370-392,398-420,426-448,454-476,482-504,510-532				1	69-170
153			P17032		ENST00000351773	271-293,299-321,327-349,355-377,383-405,411-433,439-461,467-489,495-517,523-545				1	62-259,543-562
154			P17041		ENST00000374433	77-99,105-127,133-155,161-183,189-211,245-266				1	1-73
155			P17098		ENST00000621650	257-279,285-307,313-335,341-363,369-391,397-419,467-489				1	1-24,70-252,443-576
156			P17275		ENST00000302754	266-329	1-257			1	1-264
157			P17481		ENST00000239144	147-203				1	1-156,202-244
158			P17482		ENST00000311177	186-242	1-79			1	1-190
159			P17483		ENST00000332503	163-219				1	1-161,221-252
160			P17535		ENST00000252818	266-329	1-146			1	1-264,335-348
161			P18146		ENST00000239938	338-362,368-390,396-418	422-543,3-283			1	1-336,419-544
162			P18848		ENST00000337304	276-339	1-191			1	1-277
163			P18850		ENST00000367942	305-367	1-150			1	1-302,395-450,635-671
164			P19622		ENST00000297375	245-301				1	1-249,316-334
165			P20264		ENST00000361360	317-388,407-463				1	1-320,388-409,461-501
166			P20393		ENST00000246672	130-200	8-285			1	1-127,214-425
167			P20719		ENST00000222726	196-252				1	1-192,257-271
168			P21506		ENST00000248211	265-287,293-315,321-343,349-371,377-399,405-427,433-455,461-483,489-511,517-539				1	69-261
169			P22670		ENST00000254325	435-513	222-620,909-979			1	1-439,528-567,913-980
170			P23025		ENST00000375128	NA-NA				1	1-91
171			P23409		ENST00000228641	94-145	145-242,1-92			1	1-72,163-243
172			P24278		ENST00000394715	238-260,349-371				1	121-350,395-436
173			P25208		ENST00000240055	NA-NA				1	1-55,151-208
174			P25490		ENST00000262238	296-320,325-347,353-377,383-407	1-69,371-397			1	1-293
175			P28356		ENST00000249499	286-342	11-91			1	1-286
176			P28358		ENST00000249501	267-323				1	1-273
177			P28360		ENST00000382723	173-229	236-303			1	1-177,244-304
178			P31249		ENST00000249440	195-251				1	1-198,254-433
179			P31267		ENST00000222728	156-212	2-81			1	1-158,215-234
180			P31268		ENST00000242159	131-187	31-96			1	1-129,188-231
181			P31269		ENST00000343483	207-263				1	1-207
182			P31270		ENST00000006015	242-298				1	1-246
183			P31271		ENST00000649031	323-379	1-310,355-388			1	1-330
184			P31273		ENST00000040584	150-206				1	1-155,204-243
185			P31274		ENST00000303450	193-249				1	1-191
186			P31275		ENST00000243103	215-271				1	1-223
187			P31276		ENST00000243056	261-317				1	1-331
188			P31277		ENST00000249504	267-323				1	1-269
189			P31629		ENST00000012134	189-211,217-239,1799-1821,1827-1851				1	1-186,251-1796,1856-2447
190			P32242		ENST00000282549	39-95	172-354			1	1-39,94-355
191			P35227		ENST00000610440	1-344				1	104-164,235-345
192			P35453		ENST00000392539	277-333	132-271,1-131			1	1-287
193			P35548		ENST00000239243	143-199	234-267			1	1-149,215-268
194			P35713		ENST00000340356	85-153	166-384			1	1-87,151-319
195			P35716		ENST00000322002	49-117	318-441			1	1-37,116-442
196			P35869		ENST00000242057	34-80	118-126,266-268,532-848			1	1-42,185-198,395-849
197			P40425		ENST00000375050	245-304				1	1-53,105-157,317-431
198			P41212		ENST00000396373	340-420				1	1-43,131-318,435-453
199			P41225		ENST00000370536	139-207	216-446			1	1-144,214-447
200			P41970		ENST00000228741	6-85	325-407			1	105-408
201			P48431		ENST00000325404	41-109	118-317			1	1-50,114-318
202			P48436		ENST00000245479	105-173	391-509,224-341			1	1-70,167-510
203			P48443		ENST00000359842	137-206	1-103,205-463			1	1-134,214-264
204			P48742		ENST00000614239	181-237	252-351			1	118-190,247-407
205			P49716		ENST00000408965	194-252	12-121			1	1-211,254-270
206			P49910		ENST00000377325	290-313,344-366,372-394,400-422,428-450,456-478				1	1-32,126-342
207			P50222		ENST00000262041	188-244				1	1-192,245-305
208			P50458		ENST00000373615	267-323	53-168			1	1-46,184-274,328-407
209			P50553		ENST00000266744	121-171				1	1-124,186-237
210			P51504		ENST00000308095	49-71,77-99,105-121,133-155,161-183,189-211,217-239				1	1-45,250-274
211			P51508		ENST00000338637	330-352,358-380,386-408,414-436,442-464,470-492,498-520,526-548,554-576,582-604,638-660				1	1-20,70-332
212			P51523		ENST00000327668	207-229,235-257,263-285,291-313,319-341,347-369,375-397,403-425,432-453,459-481,487-509,515-537,543-565,571-593,599-621,627-649,655-677,683-705,711-733				1	57-212
213			P51692		ENST00000293328	90-193,332-582	262-341,755-787			1	698-788
214			P51786		ENST00000377073	162-184,190-212,218-240,246-268,274-296,302-324,330-352,358-380,386-408,414-436,442-464,470-492				1	1-160
215			P52737		ENST00000343979	168-190,196-218,224-246,252-274,280-302,308-330,336-358,364-386,392-414,420-442,448-470,476-498,504-526				1	1-162
216			P52746		ENST00000449707	163-185,191-212,219-242,253-275,343-366,401-423,429-451,457-479,485-507,512-536,836-857,867-887,1104-1125,1135-1158,1171-1194,1200-1222,1228-1251,1286-1309,1328-1351,1452-1474,1480-1502,1508-1530,1536-1559,1565-1587,1593-1615,1621-1644				1	1-162,607-807,890-1106,1154-1167,1303-1337,1404-1423,1640-1688
217			P52945		ENST00000381033	147-203	1-148			1	1-145,203-284
218			P52951		ENST00000306318	248-304				1	1-254,306-349
219			P52954		ENST00000370193	126-182				1	1-34,203-282
220			P53567		ENST00000284000	63-122				1	1-80,133-151
221			P55316		ENST00000313071	181-270				1	1-182,267-490
222			P55318		ENST00000302177	117-206				1	1-109,217-351
223			P55771		ENST00000361487	4-128	206-341			1	131-342
224			P56915		ENST00000238558	161-217				1	1-146,214-258
225			P57071		ENST00000269844	738-760,765-788,799-819,826-848,853-875,904-924,929-951,992-1015,1020-1042,1056-1078,1084-1106,1112-1134,1140-1162,1168-1190,1196-1219,1225-1248				1	1-732,877-903,962-994,1242-1508
226			P57073		ENST00000293894	102-170	224-331,335-446			1	1-103,161-447
227			P58012		ENST00000648323	54-143				1	1-54,148-377
228			P58304		ENST00000261980	149-205				1	1-151,256-362
229			P58317		ENST00000320451	144-166,172-194,200-222,228-250,256-278,284-306,312-334,340-362,368-390				1	1-139
230			P59817		ENST00000302097	297-318,333-356,363-386,393-416,422-444,450-473				1	1-288,471-543
231			P59923		ENST00000396077	485-507,513-535,541-563,625-647,681-703,709-731,762-784,790-812,840-862,868-890,896-918,978-1000,1006-1028				1	1-56,135-245,284-487,571-593,649-681,730-760,818-832,915-976
232			P61371		ENST00000230658	182-238				1	136-185,244-350
233			P62380		ENST00000237264	10-91,99-181				1	NA-NA
234			P67809		ENST00000321358	50-128				1	1-52,113-325
235			P78337		ENST00000265340	90-146	234-283			1	1-94,157-315
236			P78367		ENST00000382438	207-263				1	1-213,291-334
237			P78412		ENST00000290552	148-206				1	1-151,208-447
238			P78414		ENST00000302006	130-187				1	1-131,189-481
239			P78415		ENST00000329734	NA-NA				1	1-134,189-502
240			P78426		ENST00000295886	237-293	261-367			1	1-240,298-368
241			P81133		ENST00000262901	2-53				1	1-19,348-767
242			P86452		ENST00000550078	133-181,267-315				1	1-250,301-406,804-857,965-980
243			P98168		ENST00000358697	267-291,300-324,330-354,360-382,389-413,420-444,450-474,480-504,543-568	572-699			1	1-268,573-800
244			P98169		ENST00000374888	271-295,304-328,334-358,364-386,393-417,424-448,454-478,484-508,547-572	576-703			1	1-270,576-804
245			Q00056		ENST00000360046	216-272				1	1-217,273-321
246			Q00403		ENST00000370500	NA-NA				1	57-103
247			Q00444		ENST00000312492	156-212				1	1-162
248			Q00577		ENST00000331327	1-322				1	1-62,305-323
249			Q00978		ENST00000396864	11-115				1	102-209
250			Q01094		ENST00000343380	128-192	342-437			1	1-131,289-438
251			Q01101		ENST00000310227	267-288,295-317,367-390,440-464,469-492				1	1-261,315-365,400-439
252			Q01201		ENST00000221452	127-295	414-579,18-125			1	1-164,399-580
253			Q01658		ENST00000370267	1-176				1	153-177
254			Q01664		ENST00000204517	49-100				1	1-40,120-145,220-339
255			Q01954		ENST00000345382	358-380,385-407				1	1-35,200-356,396-710,755-909,960-995
256			Q02386		ENST00000269973	276-298,304-326,332-354,360-382,388-410,416-438,444-466,472-494,500-522,528-550,556-578,584-606,612-634,640-662				1	1-272,660-683
257			Q02446		ENST00000222584	647-671,677-701,707-729				1	1-647,735-785
258			Q02556		ENST00000268638	9-113				1	384-427
259			Q02575		ENST00000302101	76-128				1	1-68
260			Q02577		ENST00000320238	78-130				1	1-69
261			Q03014		ENST00000282728	138-194	197-270			1	1-153,194-271
262			Q03052		ENST00000373012	250-321,340-396	1-157			1	1-254,318-345,394-452
263			Q03701		ENST00000234170	NA-NA				1	1-168,620-684,763-1055
264			Q03828		ENST00000308618	189-245				1	1-188,251-477
265			Q03924		ENST00000282869	109-130,165-187,193-215,221-243,249-271,277-299,305-327,333-355,361-383,417-439,445-467				1	1-106
266			Q03938		ENST00000418063	173-195,201-223,229-251,285-307,313-335,341-363,369-391,397-419,425-447,453-475,481-503,509-531,537-559,565-587				1	62-167
267			Q05066		ENST00000383070	60-128				1	1-61,134-205
268			Q05215		ENST00000545030	483-507,513-535,541-563	192-281			1	1-473
269			Q05925		ENST00000295206	304-360				1	1-306,373-393
270			Q06416		ENST00000465342	231-286	2-101			1	1-131,283-360
271			Q06546		ENST00000354828	321-400				1	1-40,265-320,435-455
272			Q06732		ENST00000359467	329-351,357-379,385-407,413-435,441-463,469-491,497-519,525-547,553-575,581-603,609-631,637-659,665-687,693-715,721-743,749-771				1	67-326
273			Q06945		ENST00000244745	59-127	392-474			1	1-60,127-475
274			Q08AG5		ENST00000439326	102-128,169-191,225-247,253-275,281-303,309-331,337-358				1	48-169,366-667
275			Q08AN1		ENST00000600228	185-207,213-235,241-263,269-291,297-319,325-347,353-375,381-403,409-431,437-459,465-487,493-515,521-543,549-571,577-599,605-627,633-655,661-683,689-711,717-739,745-767				1	49-183,763-782
276			Q08ER8		ENST00000321545	199-221,227-249,255-277,283-305,311-333,339-361,367-389,395-417,423-445,451-473,479-501,507-529,535-557				1	70-198,558-601
277			Q0VG99		ENST00000341735	82-136				1	1-90,148-398
278			Q0VGE8		ENST00000357666	228-251,257-279,285-307,313-335,341-363,369-391,397-419,425-447,453-475,481-503,509-531,537-559,565-587,593-615,621-643				1	1-231
279			Q10586		ENST00000222122	252-313	94-132			1	1-257
280			Q12778		ENST00000379561	161-250	552-655			1	1-160,224-656
281			Q12870		ENST00000246080	73-125				1	1-83,135-200
282			Q12946		ENST00000262426	48-137	148-260,351-379			1	1-49,139-380
283			Q12947		ENST00000645481	100-189	191-421,422-444			1	1-103,188-445
284			Q12948		ENST00000645831	78-167	1-51,435-553			1	1-73,166-554
285			Q12950		ENST00000382500	104-193				1	1-110,166-440
286			Q12952		ENST00000320241	49-138				1	1-18,138-346
287			Q13106		ENST00000451275	161-183,189-211,217-239,245-267,273-295,301-323,329-351,357-379,385-407,413-435				1	1-156
288			Q13129		ENST00000372771	671-696,715-736,771-795,801-825,1127-1152,1172-1195,1407-1432,1444-1469				1	1-52,482-550,600-708,820-1126,1192-1302,1376-1409,1474-1531,1594-1915
289			Q13207		ENST00000240328	107-287				1	1-101,287-713
290			Q13285		ENST00000373588	11-80	133-461			1	94-219
291			Q13351		ENST00000264834	279-303,309-333,339-361	22-47,59-85			1	1-276
292			Q13461		ENST00000335071	71-160				1	1-72,168-320
293			Q13485		ENST00000342988	36-137	30-60,275-552			1	1-14,141-314,459-489
294			Q13487		ENST00000221573	1-334				1	1-25,81-206,263-335
295			Q13516		ENST00000333337	109-163				1	1-103,181-324
296			Q13526		ENST00000247970	NA-NA				1	1-64
297			Q13562		ENST00000295108	102-154	190-300,301-356			1	1-93,194-357
298			Q13886		ENST00000377126	143-167,173-197,203-225	13-27,58-68			1	1-142
299			Q14119		ENST00000581208	74-96,174-196,202-224,232-255,261-283				1	1-170,321-522
300			Q14209		ENST00000361729	130-194	342-437			1	1-131,298-438
301			Q14469		ENST00000232424	35-92				1	1-43,155-281
302			Q14549		ENST00000297537	262-318				1	1-267,324-364
303			Q14582		ENST00000337190	54-106				1	41-54,138-210
304			Q14584		ENST00000588221	145-178,212-234,240-262,268-290,296-318,324-346,352-374,380-402,408-430,436-458,464-486,492-514,520-542				1	1-209
305			Q14585		ENST00000331800	62-84,90-112,118-140,146-168,174-196,202-224,230-252,258-280,286-308,314-336,342-364,370-392,398-420,426-448,454-476				1	1-59,476-489
306			Q14586		ENST00000300870	322-343,380-402,408-430,436-458,464-486,492-514,520-542,548-570,576-598,604-626,632-654,660-682,688-710,716-738				1	59-374
307			Q14588		ENST00000426739	176-198,204-226,232-254,260-282,288-310,316-338,344-366,372-394,400-422,428-450,456-478,484-506,512-534,540-562,568-590,596-618,624-646,652-674				1	1-179,671-701
308			Q14765		ENST00000358470	316-562	698-748			1	673-749
309			Q14774		ENST00000366903	277-333				1	1-269,333-489
310			Q14872		ENST00000373036	140-164,170-194,200-224,229-253,259-283,289-313	510-624,328-509			1	1-142,307-754
311			Q14929		ENST00000395395	234-256,262-284,290-312,318-340,346-368,374-396,402-424,430-452,458-480,486-508,542-564,570-595				1	66-234,518-537,584-604
312			Q14995		ENST00000312521	101-171				1	1-101,200-324
313			Q15072		ENST00000443387	16-38,44-66,72-94,100-122,128-150,156-178,184-206,212-234,240-262,268-290				1	NA-NA
314			Q15075		ENST00000322349	40-68				1	1-136,478-498
315			Q15270		ENST00000422806	297-353				1	1-299,352-449
316			Q15319		ENST00000646991	182-256,275-331				1	1-181,268-282
